Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-05,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-06,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-07,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-08,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-11,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-12,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-13,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-14,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-15,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-19,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-20,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-21,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-22,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-25,0.1,0.1,0.1,0.09902999999999999,0.1,0
2010-01-26,0.11,0.11,0.11,0.10893299999999999,0.11,3500
2010-01-27,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-01-28,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-01-29,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-01,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-02,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-03,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-04,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-05,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-08,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-09,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-10,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-11,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-12,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-16,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-17,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-18,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-19,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-22,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-23,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-24,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-25,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-02-26,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-03-01,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-03-02,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-03-03,0.11,0.11,0.11,0.10893299999999999,0.11,0
2010-03-04,0.11,0.11,0.11,0.10893299999999999,0.11,0
