Date,Open,High,Low,Close,Adj Close,Volume
2014-07-15,210.0,210.0,210.0,210.0,210.0,125000
2014-07-16,210.5,212.5,210.0,212.5,212.5,375000
2014-07-17,215.5,215.5,212.5,215.0,215.0,166300
2014-07-18,215.0,215.0,215.0,215.0,215.0,0
2014-07-21,216.0,216.0,215.0,215.0,215.0,15200
2014-07-22,216.0,216.0,214.5,214.5,214.5,1000
2014-07-23,214.5,214.5,214.5,214.5,214.5,10000
2014-07-24,214.5,214.5,214.5,214.5,214.5,0
2014-07-25,215.0,217.5,213.0,213.0,213.0,67700
2014-07-28,213.0,213.0,213.0,213.0,213.0,188000
2014-07-29,215.0,215.0,215.0,215.0,215.0,200
2014-07-30,213.0,213.0,213.0,213.0,213.0,49800
2014-07-31,210.0,215.0,210.0,215.0,215.0,200600
2014-08-01,215.0,215.0,215.0,215.0,215.0,0
2014-08-04,210.0,215.0,210.0,215.0,215.0,48300
2014-08-05,215.0,215.0,215.0,215.0,215.0,4000
2014-08-06,215.0,215.0,215.0,215.0,215.0,0
2014-08-07,205.0,215.0,205.0,215.0,215.0,240400
2014-08-08,215.0,215.0,215.0,215.0,215.0,400
2014-08-11,215.0,215.0,215.0,215.0,215.0,0
2014-08-12,205.0,215.0,205.0,205.0,205.0,3200
2014-08-13,215.0,215.0,215.0,215.0,215.0,11300
2014-08-14,215.0,215.0,215.0,215.0,215.0,0
2014-08-15,215.0,215.0,215.0,215.0,215.0,0
2014-08-18,210.0,210.0,210.0,210.0,210.0,100000
2014-08-19,215.0,215.0,215.0,215.0,215.0,0
2014-08-20,215.0,215.0,215.0,215.0,215.0,200
2014-08-21,215.0,215.0,215.0,215.0,215.0,500
2014-08-22,215.0,215.0,215.0,215.0,215.0,0
2014-08-25,215.0,215.0,215.0,215.0,215.0,1000
2014-08-26,215.0,215.0,215.0,215.0,215.0,0
2014-08-27,213.0,213.0,213.0,213.0,213.0,1300
2014-08-28,213.0,213.0,213.0,213.0,213.0,0
2014-08-29,210.0,210.0,210.0,210.0,210.0,17600
2014-09-02,210.0,210.5,210.0,210.5,210.5,50000
2014-09-03,215.0,215.0,213.0,213.0,213.0,2500
2014-09-04,215.0,215.0,215.0,215.0,215.0,4500
2014-09-05,215.0,215.0,215.0,215.0,215.0,0
2014-09-08,213.0,213.0,213.0,213.0,213.0,200
2014-09-09,210.0,212.5,210.0,210.0,210.0,50300
2014-09-10,210.0,210.0,210.0,210.0,210.0,0
2014-09-11,212.5,212.5,211.0,211.0,211.0,2100
2014-09-12,210.0,210.0,210.0,210.0,210.0,100
2014-09-15,211.0,211.0,211.0,211.0,211.0,500
2014-09-16,211.0,211.0,211.0,211.0,211.0,0
2014-09-17,211.0,211.0,210.5,210.5,210.5,1000
2014-09-18,210.0,210.0,210.0,210.0,210.0,100
2014-09-19,210.0,210.0,210.0,210.0,210.0,0
2014-09-22,209.5,210.0,208.5,210.0,210.0,2600
2014-09-23,208.0,208.0,205.5,205.5,205.5,900
2014-09-24,205.5,205.5,205.5,205.5,205.5,0
2014-09-25,205.5,205.5,205.5,205.5,205.5,0
2014-09-26,205.5,205.5,205.0,205.0,205.0,400
2014-09-29,205.0,205.0,200.0,200.0,200.0,800
2014-09-30,200.0,200.0,200.0,200.0,200.0,1000
2014-10-01,198.5,198.5,192.5,192.5,192.5,1700
2014-10-02,192.5,192.5,178.5,185.0,185.0,1400
2014-10-03,177.5,177.5,177.5,177.5,177.5,100
2014-10-06,177.5,177.5,177.5,177.5,177.5,0
2014-10-07,177.5,177.5,177.5,177.5,177.5,0
2014-10-08,177.5,177.5,177.5,177.5,177.5,0
2014-10-09,177.5,177.5,177.5,177.5,177.5,0
2014-10-10,177.5,177.5,177.5,177.5,177.5,0
2014-10-13,175.100006,175.100006,175.100006,175.100006,175.100006,200
2014-10-14,175.100006,175.100006,165.0,175.0,175.0,1600
2014-10-15,150.0,150.0,150.0,150.0,150.0,500
2014-10-16,150.0,150.0,150.0,150.0,150.0,500
2014-10-17,150.0,150.0,150.0,150.0,150.0,0
2014-10-20,150.0,150.0,150.0,150.0,150.0,0
2014-10-21,150.0,150.0,150.0,150.0,150.0,0
2014-10-22,150.0,150.0,150.0,150.0,150.0,0
2014-10-23,155.0,160.0,150.0,155.0,155.0,257600
2014-10-24,156.199997,156.5,155.5,155.5,155.5,592500
2014-10-27,155.0,155.0,155.0,155.0,155.0,300
2014-10-28,154.5,154.600006,154.100006,154.5,154.5,12100
2014-10-29,154.5,154.5,154.5,154.5,154.5,0
2014-10-30,155.5,157.0,155.5,156.5,156.5,5000
2014-10-31,156.5,156.5,156.5,156.5,156.5,0
2014-11-03,156.5,156.5,156.5,156.5,156.5,0
2014-11-04,156.5,156.5,156.5,156.5,156.5,0
2014-11-05,156.0,158.0,155.0,158.0,158.0,139200
2014-11-06,162.5,162.5,155.5,162.5,162.5,401000
2014-11-07,156.5,156.5,156.0,156.0,156.0,4000
2014-11-10,156.5,158.5,155.5,158.0,158.0,352500
2014-11-11,158.5,158.5,158.0,158.0,158.0,49100
2014-11-12,158.0,158.0,158.0,158.0,158.0,100
2014-11-13,158.0,158.0,157.0,157.0,157.0,800
2014-11-14,155.5,157.0,155.0,157.0,157.0,800
2014-11-17,157.0,157.0,157.0,157.0,157.0,0
2014-11-18,157.0,157.0,157.0,157.0,157.0,0
2014-11-19,156.0,156.0,156.0,156.0,156.0,2000
2014-11-20,156.0,156.0,156.0,156.0,156.0,2500
2014-11-21,156.0,156.0,156.0,156.0,156.0,0
2014-11-24,154.5,154.5,154.0,154.0,154.0,600
2014-11-25,154.0,154.0,154.0,154.0,154.0,0
2014-11-26,153.699997,153.699997,153.0,153.0,153.0,2800
2014-11-28,153.0,153.0,153.0,153.0,153.0,0
2014-12-01,153.199997,153.199997,153.199997,153.199997,153.199997,100
2014-12-02,153.0,153.0,150.0,150.0,150.0,51500
2014-12-03,150.0,150.0,149.0,149.0,149.0,2100
2014-12-04,147.5,147.5,147.5,147.5,147.5,102500
2014-12-05,145.5,145.5,145.0,145.5,145.5,800
2014-12-08,144.0,144.0,144.0,144.0,144.0,200
2014-12-09,143.0,143.0,142.0,142.5,142.5,400
2014-12-10,142.5,142.5,142.5,142.5,142.5,0
2014-12-11,141.5,141.5,140.0,140.0,140.0,900
2014-12-12,140.0,140.0,140.0,140.0,140.0,500
2014-12-15,138.5,138.5,138.5,138.5,138.5,100
2014-12-16,138.5,138.5,138.5,138.5,138.5,0
2014-12-17,137.5,137.5,132.5,132.5,132.5,2200
2014-12-18,133.0,133.0,132.5,132.5,132.5,1000
2014-12-19,132.5,132.5,130.0,130.0,130.0,1400
2014-12-22,128.5,128.5,128.5,128.5,128.5,200
2014-12-23,128.5,128.5,128.5,128.5,128.5,0
2014-12-24,128.5,128.5,128.5,128.5,128.5,500
2014-12-26,128.5,128.5,128.5,128.5,128.5,100
2014-12-29,128.5,128.5,128.5,128.5,128.5,0
