Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.62,2.7,2.42,2.5,2.5,122900.0
2010-01-05,2.51,2.63,2.48,2.56,2.56,13100.0
2010-01-06,2.55,2.63,2.48,2.56,2.56,17400.0
2010-01-07,2.6,2.65,2.44,2.49,2.49,29100.0
2010-01-08,2.53,2.55,2.47,2.47,2.47,15800.0
2010-01-11,2.53,2.55,2.37,2.55,2.55,45800.0
2010-01-12,2.55,2.56,2.47,2.54,2.54,6400.0
2010-01-13,2.48,2.56,2.4,2.56,2.56,20200.0
2010-01-14,2.56,2.59,2.52,2.59,2.59,18600.0
2010-01-15,2.59,2.66,2.35,2.52,2.52,9900.0
2010-01-19,2.53,2.58,2.38,2.45,2.45,6700.0
2010-01-20,2.45,2.45,2.26,2.42,2.42,10800.0
2010-01-21,2.45,2.45,2.35,2.45,2.45,8400.0
2010-01-22,2.48,2.55,2.4,2.54,2.54,5900.0
2010-01-25,2.47,2.55,2.36,2.42,2.42,42000.0
2010-01-26,2.48,2.5,2.42,2.43,2.43,6300.0
2010-01-27,2.5,2.5,2.42,2.48,2.48,2700.0
2010-01-28,2.47,2.47,2.37,2.45,2.45,4400.0
2010-01-29,2.41,2.48,2.33,2.47,2.47,5500.0
2010-02-01,2.46,2.47,2.24,2.44,2.44,19500.0
2010-02-02,2.42,2.47,2.26,2.42,2.42,8300.0
2010-02-03,2.4,2.45,2.36,2.37,2.37,2900.0
2010-02-04,2.42,2.52,2.36,2.43,2.43,23700.0
2010-02-05,2.38,2.38,2.3,2.37,2.37,7200.0
2010-02-08,2.38,2.41,2.26,2.38,2.38,4800.0
2010-02-09,2.35,2.44,2.32,2.38,2.38,7800.0
2010-02-10,2.41,2.46,2.26,2.38,2.38,15700.0
2010-02-11,2.5,2.59,2.48,2.53,2.53,58800.0
2010-02-12,2.53,2.65,2.5,2.64,2.64,16300.0
2010-02-16,2.66,2.66,2.56,2.63,2.63,8400.0
2010-02-17,2.64,2.64,2.55,2.6,2.6,2600.0
2010-02-18,2.55,2.62,2.55,2.6,2.6,2400.0
2010-02-19,2.54,2.63,2.41,2.59,2.59,37400.0
2010-02-22,2.6,2.6,2.52,2.6,2.6,4000.0
2010-02-23,2.55,2.6,2.53,2.58,2.58,4500.0
2010-02-24,2.59,2.6,2.49,2.55,2.55,4500.0
2010-02-25,2.53,2.55,2.45,2.53,2.53,8900.0
2010-02-26,2.55,2.55,2.4,2.52,2.52,21400.0
2010-03-01,2.59,2.59,2.49,2.55,2.55,8800.0
2010-03-02,2.59,2.59,2.47,2.55,2.55,5400.0
2010-03-03,2.58,2.58,2.46,2.55,2.55,6100.0
2010-03-04,2.51,2.55,2.45,2.55,2.55,1800.0
2010-03-05,2.51,2.55,2.5,2.55,2.55,13200.0
2010-03-08,2.53,2.71,2.53,2.7,2.7,82300.0
2010-03-09,2.75,2.75,2.62,2.7,2.7,19900.0
2010-03-10,2.71,2.75,2.62,2.62,2.62,35900.0
2010-03-11,2.62,2.71,2.62,2.68,2.68,18600.0
2010-03-12,2.71,2.73,2.65,2.7,2.7,4700.0
2010-03-15,2.73,2.73,2.63,2.72,2.72,12500.0
2010-03-16,2.73,2.73,2.73,2.73,2.73,100.0
2010-03-17,2.75,2.75,2.72,2.72,2.72,1100.0
2010-03-18,2.73,2.75,2.62,2.74,2.74,8200.0
2010-03-19,2.7,2.75,2.62,2.7,2.7,6700.0
2010-03-22,2.65,2.7,2.65,2.7,2.7,1200.0
2010-03-23,2.66,2.67,2.57,2.66,2.66,27300.0
2010-03-24,2.68,2.7,2.6,2.65,2.65,18100.0
2010-03-25,2.67,2.67,2.54,2.6,2.6,11800.0
2010-03-26,2.55,2.66,2.55,2.61,2.61,16600.0
2010-03-29,2.61,2.75,2.55,2.75,2.75,25700.0
2010-03-30,2.67,2.67,2.51,2.56,2.56,1600.0
2010-03-31,2.58,2.72,2.58,2.63,2.63,3600.0
2010-04-01,2.68,2.69,2.65,2.69,2.69,3800.0
2010-04-05,2.69,2.69,2.6,2.64,2.64,4900.0
2010-04-06,2.6,2.63,2.6,2.6,2.6,11800.0
2010-04-07,2.64,2.64,2.64,2.64,2.64,100.0
2010-04-08,2.57,2.64,2.55,2.61,2.61,6700.0
2010-04-09,2.57,2.64,2.56,2.63,2.63,15200.0
2010-04-12,2.56,2.57,2.51,2.57,2.57,5700.0
2010-04-13,2.51,2.63,2.5,2.6,2.6,17400.0
2010-04-14,2.6,2.66,2.49,2.64,2.64,16800.0
2010-04-15,2.59,2.59,2.5,2.59,2.59,5300.0
2010-04-16,2.59,2.62,2.5,2.59,2.59,7800.0
2010-04-19,2.6,2.6,2.5,2.58,2.58,2000.0
2010-04-20,2.59,2.64,2.59,2.64,2.64,3400.0
2010-04-21,2.69,2.69,2.55,2.6,2.6,8400.0
2010-04-22,2.55,2.55,2.5,2.54,2.54,5900.0
2010-04-23,2.39,2.48,2.25,2.44,2.44,14800.0
2010-04-26,2.44,2.52,2.44,2.47,2.47,2300.0
2010-04-27,2.52,2.54,2.47,2.54,2.54,2100.0
2010-04-28,2.54,2.54,2.54,2.54,2.54,0.0
2010-04-29,2.43,2.6,2.43,2.59,2.59,4600.0
2010-04-30,2.55,2.55,2.55,2.55,2.55,100.0
2010-05-03,2.54,2.56,2.52,2.52,2.52,3500.0
2010-05-04,2.56,2.56,2.5,2.55,2.55,1600.0
2010-05-05,2.55,2.55,2.5,2.5,2.5,1700.0
2010-05-06,2.55,2.55,2.42,2.45,2.45,3800.0
2010-05-07,2.5,2.5,2.45,2.45,2.45,200.0
2010-05-10,2.48,2.65,2.42,2.55,2.55,12000.0
2010-05-11,2.6,2.6,2.42,2.49,2.49,11400.0
2010-05-12,2.3,2.57,2.3,2.52,2.52,7200.0
2010-05-13,2.52,2.54,2.47,2.47,2.47,2900.0
2010-05-14,2.42,2.55,2.4,2.55,2.55,5200.0
2010-05-17,2.5,2.5,2.45,2.45,2.45,6800.0
2010-05-18,2.45,2.45,2.45,2.45,2.45,0.0
2010-05-19,2.43,2.43,2.4,2.4,2.4,8900.0
2010-05-20,2.45,2.45,2.35,2.35,2.35,5000.0
2010-05-21,2.4,2.45,2.36,2.42,2.42,10100.0
2010-05-24,2.46,2.47,2.32,2.35,2.35,10000.0
2010-05-25,2.35,2.42,2.3,2.34,2.34,8600.0
2010-05-26,2.39,2.44,2.38,2.4,2.4,1500.0
2010-05-27,2.36,2.4,2.35,2.4,2.4,14000.0
2010-05-28,2.31,2.39,2.19,2.34,2.34,43600.0
2010-06-01,2.29,2.37,1.97,2.12,2.12,41000.0
2010-06-02,1.92,2.15,1.92,2.07,2.07,94600.0
2010-06-03,2.11,2.16,2.11,2.16,2.16,4300.0
2010-06-04,2.19,2.19,1.95,2.03,2.03,134800.0
2010-06-07,1.72,2.09,1.72,2.05,2.05,16100.0
2010-06-08,2.05,2.07,2.02,2.07,2.07,7400.0
2010-06-09,2.12,2.12,2.03,2.12,2.12,6000.0
2010-06-10,2.17,2.18,2.04,2.04,2.04,7000.0
2010-06-11,2.09,2.1,2.06,2.07,2.07,3200.0
2010-06-14,2.1,2.13,2.08,2.13,2.13,14400.0
2010-06-15,2.15,2.2,2.14,2.2,2.2,1400.0
2010-06-16,2.17,2.18,2.17,2.18,2.18,600.0
2010-06-17,2.15,2.19,2.14,2.14,2.14,4400.0
2010-06-18,2.19,2.28,2.19,2.28,2.28,800.0
2010-06-21,2.26,2.26,2.1,2.18,2.18,15600.0
2010-06-22,2.17,2.2,2.1,2.12,2.12,5700.0
2010-06-23,2.01,2.15,1.83,2.05,2.05,114500.0
2010-06-24,2.06,2.06,1.97,2.04,2.04,2400.0
2010-06-25,2.06,2.06,2.01,2.01,2.01,800.0
2010-06-28,2.05,2.05,2.0,2.01,2.01,2600.0
2010-06-29,2.05,2.06,2.01,2.06,2.06,2300.0
2010-06-30,2.02,2.06,2.01,2.04,2.04,600.0
2010-07-01,2.01,2.04,1.99,2.04,2.04,5100.0
2010-07-02,1.98,2.03,1.95,2.03,2.03,5600.0
2010-07-06,2.01,2.03,1.95,1.99,1.99,5400.0
2010-07-07,2.0,2.13,2.0,2.07,2.07,3700.0
2010-07-08,2.11,2.11,2.06,2.11,2.11,600.0
2010-07-09,2.11,2.11,2.11,2.11,2.11,0.0
2010-07-12,2.09,2.11,2.09,2.11,2.11,200.0
2010-07-13,2.11,2.2,2.11,2.15,2.15,6700.0
2010-07-14,2.2,2.2,2.15,2.16,2.16,1300.0
2010-07-15,2.2,2.2,2.11,2.11,2.11,500.0
