Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.2,7.2,6.4,6.4,6.4,400
2010-01-05,6.4,7.0,6.4,7.0,7.0,800
2010-01-06,6.5,6.8,6.4,6.8,6.8,2200
2010-01-07,6.8,6.8,6.6,6.6,6.6,1200
2010-01-08,6.6,7.1,6.6,6.9,6.9,3400
2010-01-11,7.0,7.3,6.7,6.7,6.7,15700
2010-01-12,7.0,7.3,6.5,7.2,7.2,4500
2010-01-13,7.0,8.4,7.0,8.4,8.4,3300
2010-01-14,8.0,8.0,7.2,7.2,7.2,3300
2010-01-15,7.2,7.4,6.1,6.1,6.1,3600
2010-01-19,6.5,6.9,6.1,6.5,6.5,5800
2010-01-20,6.5,6.5,6.2,6.2,6.2,1800
2010-01-21,6.3,6.3,5.9,5.9,5.9,5600
2010-01-22,5.9,5.9,5.9,5.9,5.9,500
2010-01-25,6.0,6.0,5.5,5.5,5.5,500
2010-01-26,5.5,5.7,5.3,5.7,5.7,1300
2010-01-27,5.7,5.7,5.1,5.7,5.7,1000
2010-01-28,5.7,5.7,5.7,5.7,5.7,200
2010-01-29,5.7,5.7,5.7,5.7,5.7,400
2010-02-01,5.8,5.9,5.8,5.9,5.9,1200
2010-02-02,5.8,5.8,5.8,5.8,5.8,500
2010-02-03,5.8,5.8,5.8,5.8,5.8,500
2010-02-04,5.9,6.1,5.3,5.8,5.8,3700
2010-02-05,5.7,6.0,5.3,6.0,6.0,1400
2010-02-08,5.7,5.9,5.3,5.9,5.9,3700
2010-02-09,5.2,6.0,5.1,5.5,5.5,1200
2010-02-10,5.5,5.5,5.5,5.5,5.5,800
2010-02-11,5.2,5.5,5.2,5.5,5.5,2400
2010-02-12,5.5,6.0,5.2,5.9,5.9,3300
2010-02-16,5.2,5.7,5.0,5.7,5.7,800
2010-02-17,5.6,6.5,5.5,6.1,6.1,11700
2010-02-18,6.0,6.2,5.1,5.1,5.1,6400
2010-02-19,5.1,5.4,4.0,5.4,5.4,400
2010-02-22,5.4,5.4,4.5,4.5,4.5,800
2010-02-23,5.3,5.7,5.3,5.5,5.5,4000
2010-02-24,5.6,5.6,5.4,5.5,5.5,1600
2010-02-25,5.7,5.7,5.5,5.6,5.6,900
2010-02-26,5.6,5.7,5.5,5.5,5.5,3200
2010-03-01,5.5,5.6,5.0,5.5,5.5,2800
