Date,Open,High,Low,Close,Adj Close,Volume
2012-11-08,68.25,75.0,63.75,72.0,72.0,13800
2012-11-09,70.349998,70.349998,60.75,60.75,60.75,3400
2012-11-12,59.849998,69.449997,59.849998,69.0,69.0,1600
2012-11-13,69.599998,69.75,66.300003,66.300003,66.300003,1300
2012-11-14,68.400002,68.400002,64.050003,64.5,64.5,100
2012-11-15,67.5,70.050003,67.349998,70.050003,70.050003,500
2012-11-16,70.650002,70.650002,64.199997,64.199997,64.199997,500
2012-11-19,65.699997,67.5,65.699997,67.5,67.5,200
2012-11-20,69.599998,69.599998,67.050003,67.050003,67.050003,100
2012-11-21,69.599998,69.599998,66.599998,68.25,68.25,800
2012-11-23,70.650002,70.650002,68.550003,69.0,69.0,0
2012-11-26,69.0,69.0,66.150002,69.0,69.0,600
2012-11-27,68.099998,68.25,67.199997,68.099998,68.099998,100
2012-11-28,67.5,68.25,67.5,67.5,67.5,100
2012-11-29,69.599998,69.599998,67.800003,67.949997,67.949997,600
2012-11-30,69.599998,69.599998,67.050003,68.400002,68.400002,500
2012-12-03,66.900002,68.400002,63.599998,64.050003,64.050003,500
2012-12-04,68.400002,69.0,64.949997,69.0,69.0,100
2012-12-05,69.0,69.0,65.25,65.25,65.25,300
2012-12-06,66.0,66.0,66.0,66.0,66.0,100
2012-12-07,67.349998,75.150002,66.300003,71.25,71.25,5100
2012-12-10,70.199997,84.150002,69.0,72.300003,72.300003,15200
2012-12-11,78.599998,78.599998,72.300003,74.849998,74.849998,2200
2012-12-12,80.099998,80.099998,73.800003,73.800003,73.800003,1500
2012-12-13,76.650002,78.0,68.849998,71.099998,71.099998,1500
2012-12-14,69.75,71.849998,67.650002,68.099998,68.099998,1800
2012-12-17,67.5,67.5,60.0,63.599998,63.599998,700
2012-12-18,62.099998,62.099998,51.599998,58.650002,58.650002,1000
2012-12-19,58.799999,67.050003,56.25,57.75,57.75,1000
2012-12-20,58.950001,64.949997,58.799999,61.650002,61.650002,200
2012-12-21,64.5,67.349998,63.599998,63.75,63.75,500
2012-12-24,66.449997,66.449997,66.449997,66.449997,66.449997,0
2012-12-26,66.449997,66.449997,66.449997,66.449997,66.449997,0
2012-12-27,65.099998,66.449997,54.0,60.75,60.75,700
2012-12-28,60.75,65.699997,60.299999,65.699997,65.699997,300
2012-12-31,59.549999,60.0,58.5,58.5,58.5,400
2013-01-02,59.849998,59.849998,56.549999,57.0,57.0,100
2013-01-03,58.5,64.650002,58.5,64.650002,64.650002,800
2013-01-04,64.800003,64.800003,60.900002,61.5,61.5,200
2013-01-07,63.0,63.0,57.599998,59.25,59.25,700
2013-01-08,59.400002,63.0,59.400002,62.099998,62.099998,1000
2013-01-09,62.400002,62.849998,62.400002,62.849998,62.849998,0
2013-01-10,63.0,63.0,60.900002,60.900002,60.900002,100
2013-01-11,64.949997,64.949997,62.25,62.849998,62.849998,100
2013-01-14,64.349998,66.0,63.0,63.75,63.75,600
2013-01-15,66.75,66.75,64.5,66.599998,66.599998,200
2013-01-16,67.5,69.900002,67.5,67.650002,67.650002,1100
2013-01-17,69.0,69.0,62.400002,62.400002,62.400002,300
2013-01-18,68.849998,68.849998,65.25,66.150002,66.150002,100
2013-01-22,67.5,68.699997,63.900002,63.900002,63.900002,0
2013-01-23,64.5,64.5,64.199997,64.199997,64.199997,0
2013-01-24,67.650002,67.650002,65.25,66.900002,66.900002,400
2013-01-25,66.150002,66.150002,63.75,65.400002,65.400002,300
2013-01-28,69.300003,74.849998,64.5,70.650002,70.650002,2800
2013-01-29,73.050003,82.949997,69.449997,76.949997,76.949997,400
2013-01-30,79.650002,79.650002,75.0,75.449997,75.449997,400
2013-01-31,75.449997,78.599998,75.150002,78.599998,78.599998,100
2013-02-01,78.150002,80.849998,77.25,80.400002,80.400002,600
2013-02-04,76.5,79.5,75.0,76.5,76.5,400
2013-02-05,78.599998,84.0,78.599998,82.5,82.5,1600
2013-02-06,84.449997,85.349998,81.0,85.349998,85.349998,900
2013-02-07,86.849998,88.199997,86.25,88.199997,88.199997,200
2013-02-08,88.050003,88.5,85.5,88.5,88.5,500
2013-02-11,89.699997,95.25,89.699997,95.25,95.25,600
2013-02-12,93.0,120.0,93.0,119.25,119.25,4600
2013-02-13,126.300003,134.850006,101.550003,105.0,105.0,4100
2013-02-14,106.949997,107.699997,101.25,101.550003,101.550003,1200
2013-02-15,111.900002,111.900002,98.550003,107.099998,107.099998,1000
2013-02-19,109.199997,109.199997,98.400002,98.699997,98.699997,800
2013-02-20,104.099998,124.5,98.25,99.75,99.75,1600
2013-02-21,106.349998,106.349998,96.75,105.300003,105.300003,700
2013-02-22,105.150002,105.150002,97.5,103.949997,103.949997,400
2013-02-25,104.099998,104.099998,97.650002,98.099998,98.099998,2200
2013-02-26,101.25,101.25,93.300003,95.400002,95.400002,400
2013-02-27,95.849998,101.099998,91.5,96.75,96.75,500
2013-02-28,98.400002,103.800003,94.5,96.0,96.0,400
2013-03-01,101.099998,101.550003,99.900002,101.25,101.25,200
2013-03-04,103.050003,103.650002,99.449997,101.25,101.25,100
2013-03-05,104.849998,105.0,96.75,96.900002,96.900002,500
2013-03-06,99.150002,99.150002,96.75,96.900002,96.900002,200
2013-03-07,96.0,98.099998,93.0,95.400002,95.400002,1700
2013-03-08,93.0,104.25,93.0,103.800003,103.800003,900
2013-03-11,105.0,105.0,95.699997,98.550003,98.550003,400
2013-03-12,93.0,100.199997,93.0,99.0,99.0,100
2013-03-13,102.150002,141.75,102.150002,103.949997,103.949997,30200
2013-03-14,105.0,105.0,96.75,99.900002,99.900002,6700
2013-03-15,97.800003,123.75,96.75,111.0,111.0,34200
2013-03-18,115.650002,138.600006,111.0,138.149994,138.149994,32100
2013-03-19,141.899994,186.0,140.25,185.550003,185.550003,62500
2013-03-20,185.399994,185.399994,150.149994,158.699997,158.699997,32100
2013-03-21,160.800003,168.149994,152.699997,164.100006,164.100006,13300
2013-03-22,165.0,175.199997,161.25,165.75,165.75,10500
2013-03-25,180.0,183.75,168.75,170.25,170.25,9900
2013-03-26,172.050003,180.0,169.5,169.5,169.5,4600
2013-03-27,169.199997,169.5,141.300003,143.25,143.25,17400
2013-03-28,120.0,139.649994,117.0,131.25,131.25,13900
2013-04-01,133.199997,140.550003,129.75,132.75,132.75,3900
2013-04-02,132.75,138.75,132.300003,136.350006,136.350006,1800
2013-04-03,137.550003,139.199997,119.849998,120.0,120.0,5200
2013-04-04,120.0,127.199997,117.75,124.349998,124.349998,3000
2013-04-05,121.650002,122.099998,115.5,120.300003,120.300003,3100
2013-04-08,120.449997,120.449997,112.650002,114.900002,114.900002,2800
2013-04-09,116.25,135.300003,116.25,133.800003,133.800003,5900
2013-04-10,135.600006,148.050003,135.600006,139.649994,139.649994,5200
2013-04-11,139.649994,141.0,127.650002,131.550003,131.550003,2400
2013-04-12,134.25,134.25,127.5,129.0,129.0,900
2013-04-15,129.449997,134.850006,120.75,132.600006,132.600006,2700
2013-04-16,132.0,138.0,131.25,135.149994,135.149994,1900
2013-04-17,135.75,143.850006,135.149994,143.850006,143.850006,5100
2013-04-18,143.100006,144.0,131.399994,136.649994,136.649994,3400
2013-04-19,138.600006,138.600006,121.800003,122.849998,122.849998,4600
2013-04-22,122.25,122.25,114.75,116.550003,116.550003,4200
2013-04-23,118.199997,125.25,116.400002,117.0,117.0,3300
2013-04-24,117.599998,127.800003,115.949997,117.0,117.0,5300
2013-04-25,116.550003,117.0,109.050003,111.900002,111.900002,4600
2013-04-26,112.650002,112.650002,102.75,103.050003,103.050003,9200
2013-04-29,101.550003,108.599998,98.400002,106.050003,106.050003,6500
2013-04-30,105.0,107.25,99.300003,100.199997,100.199997,3800
2013-05-01,99.449997,111.0,99.449997,104.099998,104.099998,6800
2013-05-02,107.25,111.599998,102.300003,105.0,105.0,7600
2013-05-03,106.199997,109.5,102.75,102.75,102.75,6900
2013-05-06,104.25,104.25,98.400002,99.0,99.0,4900
2013-05-07,97.949997,97.949997,81.449997,85.349998,85.349998,28800
2013-05-08,82.5,82.949997,73.949997,76.650002,76.650002,47600
2013-05-09,77.550003,82.949997,75.150002,75.300003,75.300003,15800
2013-05-10,75.0,79.5,71.25,76.199997,76.199997,19200
2013-05-13,75.0,80.25,73.050003,76.949997,76.949997,12500
2013-05-14,75.75,93.449997,75.75,84.599998,84.599998,46000
2013-05-15,85.5,89.099998,78.0,81.75,81.75,22300
2013-05-16,80.699997,83.699997,78.300003,78.900002,78.900002,7300
2013-05-17,79.199997,80.25,75.599998,77.550003,77.550003,8400
2013-05-20,77.25,78.300003,75.449997,75.75,75.75,6200
2013-05-21,76.050003,79.050003,75.75,76.349998,76.349998,5700
2013-05-22,76.050003,82.5,76.050003,79.199997,79.199997,4900
2013-05-23,77.25,78.75,76.5,76.949997,76.949997,3000
2013-05-24,77.25,79.050003,76.349998,76.949997,76.949997,3200
2013-05-28,76.800003,77.849998,75.900002,76.800003,76.800003,1900
2013-05-29,75.900002,76.5,74.699997,74.849998,74.849998,7000
2013-05-30,75.150002,76.050003,71.25,71.25,71.25,8100
2013-05-31,72.0,75.300003,65.099998,66.900002,66.900002,9600
2013-06-03,67.199997,69.599998,63.0,68.699997,68.699997,6300
2013-06-04,68.099998,68.550003,63.900002,64.650002,64.650002,5200
2013-06-05,64.050003,75.75,61.650002,73.349998,73.349998,17100
2013-06-06,75.599998,78.449997,71.849998,73.650002,73.650002,5500
2013-06-07,75.300003,78.75,73.349998,78.75,78.75,15100
2013-06-10,79.5,84.0,75.75,81.0,81.0,17200
2013-06-11,76.5,80.699997,76.5,78.599998,78.599998,4900
2013-06-12,78.900002,78.900002,75.150002,76.050003,76.050003,4400
2013-06-13,76.5,76.5,75.300003,75.300003,75.300003,2900
2013-06-14,75.150002,75.150002,71.099998,72.599998,72.599998,5100
2013-06-17,78.0,80.099998,70.5,71.849998,71.849998,9200
2013-06-18,71.25,72.75,67.800003,70.349998,70.349998,5100
2013-06-19,69.0,74.849998,69.0,73.050003,73.050003,2700
2013-06-20,77.25,80.849998,74.400002,76.199997,76.199997,16900
2013-06-21,76.5,77.550003,72.449997,75.300003,75.300003,9300
2013-06-24,76.349998,77.849998,72.449997,77.849998,77.849998,9500
2013-06-25,77.849998,77.849998,72.900002,73.5,73.5,8800
2013-06-26,74.25,75.150002,70.5,72.75,72.75,4300
2013-06-27,72.150002,73.199997,71.699997,72.900002,72.900002,2900
2013-06-28,72.900002,78.0,72.150002,78.0,78.0,6200
2013-07-01,78.300003,78.300003,73.650002,75.300003,75.300003,4800
2013-07-02,74.099998,77.099998,72.75,77.099998,77.099998,2900
2013-07-03,77.099998,77.699997,74.400002,75.75,75.75,2300
2013-07-05,75.300003,77.400002,74.25,77.400002,77.400002,2700
2013-07-08,76.949997,76.949997,74.699997,75.0,75.0,4600
2013-07-09,75.0,75.0,72.449997,72.75,72.75,4800
2013-07-10,72.150002,74.699997,71.099998,74.699997,74.699997,5300
2013-07-11,74.25,74.25,71.550003,72.599998,72.599998,2700
2013-07-12,73.050003,74.099998,71.25,73.050003,73.050003,2300
2013-07-15,73.949997,74.699997,73.199997,73.800003,73.800003,3700
2013-07-16,74.849998,75.599998,72.449997,73.199997,73.199997,3500
2013-07-17,73.5,73.800003,70.5,72.150002,72.150002,5400
2013-07-18,70.5,73.050003,69.150002,73.050003,73.050003,3000
2013-07-19,72.75,73.800003,71.25,72.75,72.75,4200
2013-07-22,72.599998,72.75,70.5,70.5,70.5,2900
2013-07-23,71.25,71.25,67.949997,71.099998,71.099998,3000
2013-07-24,70.5,70.5,69.0,69.599998,69.599998,3200
2013-07-25,69.900002,70.5,67.5,70.349998,70.349998,2300
2013-07-26,69.900002,69.900002,67.800003,68.699997,68.699997,3400
2013-07-29,68.550003,73.050003,68.550003,72.449997,72.449997,2800
2013-07-30,72.449997,72.75,69.300003,70.650002,70.650002,2500
2013-07-31,70.650002,71.550003,69.75,71.25,71.25,500
2013-08-01,70.949997,71.25,69.0,70.5,70.5,2200
2013-08-02,69.0,70.349998,67.5,68.849998,68.849998,5200
2013-08-05,69.0,69.0,66.150002,66.75,66.75,5000
2013-08-06,66.0,66.150002,63.299999,63.599998,63.599998,5100
2013-08-07,64.199997,69.75,63.75,69.300003,69.300003,6800
2013-08-08,69.75,71.400002,67.5,68.550003,68.550003,7400
2013-08-09,67.5,69.150002,65.400002,69.0,69.0,4200
2013-08-12,68.400002,74.400002,68.400002,73.5,73.5,9400
2013-08-13,73.949997,73.949997,70.5,70.949997,70.949997,2500
2013-08-14,70.5,72.449997,68.699997,70.5,70.5,3800
2013-08-15,70.5,70.5,66.599998,68.099998,68.099998,2600
2013-08-16,67.949997,69.900002,66.0,66.0,66.0,1600
2013-08-19,65.400002,66.300003,64.199997,65.849998,65.849998,4100
2013-08-20,65.550003,67.650002,64.349998,67.5,67.5,1800
2013-08-21,67.349998,67.349998,64.5,65.699997,65.699997,1800
2013-08-22,66.449997,67.5,64.199997,66.0,66.0,1700
2013-08-23,65.849998,68.099998,64.349998,67.949997,67.949997,4400
2013-08-26,68.849998,69.0,66.150002,67.949997,67.949997,3900
2013-08-27,67.800003,67.800003,64.650002,67.5,67.5,2000
2013-08-28,66.300003,66.75,66.0,66.150002,66.150002,1400
2013-08-29,66.900002,67.800003,66.75,67.5,67.5,1000
2013-08-30,67.5,76.199997,67.5,69.0,69.0,20600
2013-09-03,69.75,69.75,66.900002,67.199997,67.199997,4300
2013-09-04,67.5,69.0,66.300003,68.699997,68.699997,2900
2013-09-05,68.699997,69.900002,67.5,69.0,69.0,6500
2013-09-06,73.199997,76.349998,71.25,72.75,72.75,20400
2013-09-09,73.199997,74.699997,69.0,74.099998,74.099998,7100
2013-09-10,74.400002,78.0,73.5,78.0,78.0,15600
2013-09-11,75.0,77.550003,71.400002,72.900002,72.900002,13500
2013-09-12,73.5,73.5,68.550003,70.5,70.5,13300
