Date,Open,High,Low,Close,Adj Close,Volume
2016-10-11,5.06,5.59,4.87,4.98,4.98,115800
2016-10-12,5.01,5.48,5.0,5.48,5.48,124200
2016-10-13,5.55,5.6,5.12,5.15,5.15,45900
2016-10-14,5.34,5.35,5.011,5.26,5.26,78300
2016-10-17,5.27,5.34,5.0,5.01,5.01,121300
2016-10-18,5.1,5.14,3.98,4.97,4.97,47100
2016-10-19,5.0,5.043,4.85,4.95,4.95,34600
2016-10-20,4.9,5.0,4.9,5.0,5.0,15100
2016-10-21,4.993,5.0,4.95,4.98,4.98,18800
2016-10-24,4.963,5.05,4.951,5.0,5.0,4700
2016-10-25,4.96,4.988,4.95,4.98,4.98,6500
2016-10-26,5.0,5.043,5.0,5.0,5.0,16800
2016-10-27,5.08,5.085,5.0,5.0,5.0,3100
2016-10-28,5.09,5.09,4.95,4.95,4.95,5600
2016-10-31,4.87,5.07,4.85,5.07,5.07,3200
2016-11-01,5.03,5.04,5.03,5.04,5.04,200
2016-11-02,4.85,5.0,4.75,5.0,5.0,4000
2016-11-03,5.0,5.0,5.0,5.0,5.0,0
2016-11-04,4.9,4.9,4.75,4.75,4.75,1000
2016-11-07,4.88,4.88,4.88,4.88,4.88,500
2016-11-08,4.97,4.99,4.97,4.97,4.97,300
2016-11-09,4.75,4.76,4.75,4.75,4.75,1000
2016-11-10,4.646,4.98,4.5,4.74,4.74,8100
2016-11-11,4.85,4.85,4.542,4.542,4.542,2800
2016-11-14,4.507,4.745,4.5,4.63,4.63,17600
2016-11-15,4.7,4.7,4.5,4.63,4.63,10600
2016-11-16,4.7,4.884,4.5,4.625,4.625,20200
2016-11-17,4.8,4.976,4.65,4.65,4.65,4900
2016-11-18,4.65,4.68,4.5,4.68,4.68,16000
2016-11-21,4.64,4.64,3.93,4.3,4.3,40100
2016-11-22,4.57,4.9,4.0,4.29,4.29,37300
2016-11-23,4.22,4.23,4.0,4.15,4.15,12500
2016-11-25,4.17,4.46,4.168,4.46,4.46,14400
2016-11-28,4.412,4.76,4.052,4.1,4.1,19700
2016-11-29,4.25,4.25,4.01,4.01,4.01,6200
2016-11-30,4.1,4.2,4.0,4.2,4.2,9100
2016-12-01,4.39,4.4,4.05,4.095,4.095,9200
2016-12-02,4.11,4.11,4.11,4.11,4.11,300
2016-12-05,4.05,4.4,4.0,4.25,4.25,19600
2016-12-06,4.4,4.9,4.3,4.355,4.355,30900
2016-12-07,4.493,4.493,4.4,4.429,4.429,3400
2016-12-08,4.56,4.63,4.13,4.59,4.59,47200
2016-12-09,4.77,4.85,4.28,4.55,4.55,18700
2016-12-12,4.52,4.85,4.19,4.5,4.5,34600
2016-12-13,4.68,4.73,4.33,4.52,4.52,27800
2016-12-14,4.55,4.6,4.47,4.51,4.51,4000
2016-12-15,4.53,4.55,4.22,4.4,4.4,6200
2016-12-16,4.15,4.23,3.96,3.96,3.96,30100
2016-12-19,4.22,4.22,4.02,4.03,4.03,2200
2016-12-20,4.1,4.1,4.0,4.0,4.0,6000
2016-12-21,4.1,4.929,4.026,4.192,4.192,37600
2016-12-22,4.34,4.45,4.05,4.25,4.25,9200
2016-12-23,4.12,4.243,4.05,4.09,4.09,6400
2016-12-27,4.09,4.09,4.0,4.05,4.05,7400
2016-12-28,4.02,4.371,4.0,4.04,4.04,6800
2016-12-29,4.5,4.5,4.04,4.35,4.35,10500
2016-12-30,4.35,4.822,4.35,4.74,4.74,5800
2017-01-03,4.43,4.595,4.25,4.25,4.25,5500
2017-01-04,4.13,4.27,4.09,4.25,4.25,13300
2017-01-05,4.45,4.96,4.25,4.65,4.65,22100
2017-01-06,4.75,4.75,4.675,4.7,4.7,6400
2017-01-09,5.0,5.0,4.85,4.963,4.963,4400
2017-01-10,4.99,4.99,4.85,4.99,4.99,7300
2017-01-11,4.966,4.966,4.71,4.71,4.71,4200
2017-01-12,4.71,4.809,4.25,4.4,4.4,11800
2017-01-13,4.67,4.67,4.43,4.63,4.63,700
2017-01-17,4.389,4.5,4.33,4.35,4.35,18400
2017-01-18,4.35,4.616,4.32,4.32,4.32,1100
2017-01-19,4.355,4.537,4.32,4.32,4.32,1100
2017-01-20,4.5,4.68,4.47,4.56,4.56,3600
2017-01-23,4.98,4.98,4.32,4.35,4.35,1700
2017-01-24,4.311,4.353,4.311,4.353,4.353,1200
2017-01-25,4.45,4.45,4.45,4.45,4.45,100
2017-01-26,4.47,4.65,4.47,4.65,4.65,3900
2017-01-27,4.9,4.98,4.612,4.75,4.75,14400
2017-01-30,4.91,4.91,4.5,4.5,4.5,9000
2017-01-31,4.5,4.5,4.38,4.38,4.38,1300
2017-02-01,4.483,4.483,4.483,4.483,4.483,100
2017-02-02,4.49,4.49,4.432,4.44,4.44,4100
2017-02-03,4.49,4.55,4.42,4.48,4.48,6100
2017-02-06,4.56,4.59,4.25,4.25,4.25,23900
2017-02-07,4.25,4.25,4.0,4.0,4.0,13400
2017-02-08,4.0,4.1,4.0,4.0,4.0,6400
2017-02-09,4.05,4.05,4.048,4.048,4.048,1000
2017-02-10,4.05,4.05,4.05,4.05,4.05,100
2017-02-13,4.05,4.05,4.05,4.05,4.05,0
2017-02-14,4.06,4.236,4.05,4.236,4.236,4900
2017-02-15,4.23,4.266,4.0,4.09,4.09,15600
2017-02-16,4.1,4.1,4.1,4.1,4.1,400
2017-02-17,4.05,4.174,4.05,4.14,4.14,1700
2017-02-21,4.14,4.16,4.0,4.14,4.14,14900
2017-02-22,4.11,4.11,4.01,4.01,4.01,5400
2017-02-23,4.074,4.13,4.031,4.04,4.04,5200
2017-02-24,4.01,4.3,4.01,4.19,4.19,63600
2017-02-27,4.16,4.5,4.16,4.29,4.29,65000
2017-02-28,4.244,4.29,4.13,4.15,4.15,18200
2017-03-01,4.169,4.175,4.03,4.12,4.12,13200
2017-03-02,4.15,4.3,4.04,4.08,4.08,24500
2017-03-03,4.099,4.099,4.02,4.08,4.08,11700
2017-03-06,4.03,4.3,4.03,4.14,4.14,34900
2017-03-07,4.14,4.3,4.05,4.17,4.17,32700
2017-03-08,4.15,4.21,4.069,4.12,4.12,18600
2017-03-09,4.1,4.159,4.01,4.01,4.01,23200
2017-03-10,4.09,4.09,4.09,4.09,4.09,1000
2017-03-13,4.08,4.1,4.0,4.087,4.087,28500
2017-03-14,4.04,4.04,3.584,3.72,3.72,11300
2017-03-15,3.85,3.9,3.74,3.86,3.86,10000
2017-03-16,3.87,3.87,3.74,3.81,3.81,13500
2017-03-17,3.74,3.79,3.72,3.777,3.777,21800
2017-03-20,3.88,3.89,3.763,3.79,3.79,2600
2017-03-21,3.75,3.75,3.64,3.64,3.64,6500
2017-03-22,3.525,3.6,3.44,3.6,3.6,10100
2017-03-23,3.52,3.567,3.5,3.567,3.567,10700
2017-03-24,3.53,3.66,3.53,3.63,3.63,9300
2017-03-27,3.754,3.8,3.65,3.8,3.8,11500
2017-03-28,3.79,4.29,3.784,4.01,4.01,29400
2017-03-29,4.09,4.09,3.82,3.9,3.9,10300
2017-03-30,3.9,3.9,3.9,3.9,3.9,0
2017-03-31,3.72,3.99,3.7,3.859,3.859,12800
2017-04-03,3.856,3.856,3.72,3.768,3.768,8100
2017-04-04,4.08,4.08,3.8,3.97,3.97,11000
2017-04-05,3.87,4.18,3.808,3.98,3.98,15700
2017-04-06,4.0,4.0,3.86,3.95,3.95,4900
