Date,Open,High,Low,Close,Adj Close,Volume
2015-05-15,7.49,7.7,7.06,7.3,7.3,1298737
2015-05-18,7.21,8.04,7.1,7.45,7.45,243988
2015-05-19,7.7,7.84,7.3,7.8,7.8,100100
2015-05-20,7.64,7.9,7.56,7.79,7.79,116200
2015-05-21,7.69,7.9,7.59,7.89,7.89,103500
2015-05-22,7.9,8.03,7.77,7.92,7.92,166600
2015-05-26,8.18,8.25,7.65,7.99,7.99,127800
2015-05-27,8.11,8.2,7.83,8.2,8.2,78600
2015-05-28,8.2,8.5,8.08,8.17,8.17,67800
2015-05-29,8.19,8.61,8.1,8.61,8.61,125000
2015-06-01,8.49,8.49,7.76,8.24,8.24,91800
2015-06-02,8.25,8.25,7.8,8.01,8.01,74300
2015-06-03,8.02,8.29,7.86,8.29,8.29,58100
2015-06-04,8.1,8.25,8.084,8.2,8.2,19200
2015-06-05,8.15,8.2,7.87,8.05,8.05,59700
2015-06-08,7.95,8.3,7.85,8.09,8.09,70200
2015-06-09,8.28,8.28,8.0,8.19,8.19,148100
2015-06-10,8.3,8.45,8.16,8.35,8.35,91400
2015-06-11,8.4,8.79,8.36,8.69,8.69,108800
2015-06-12,8.35,8.8,8.35,8.73,8.73,34500
2015-06-15,8.48,8.785,8.35,8.44,8.44,85600
2015-06-16,8.65,8.65,8.35,8.42,8.42,64500
2015-06-17,8.65,8.65,7.8,7.84,7.84,72900
2015-06-18,7.95,8.04,7.8,7.86,7.86,114900
2015-06-19,7.95,8.1,7.83,8.01,8.01,36100
2015-06-22,8.13,8.27,7.55,7.58,7.58,74800
2015-06-23,7.54,7.65,6.5,6.71,6.71,240000
2015-06-24,6.5,6.65,6.2,6.2,6.2,106800
2015-06-25,6.23,6.39,6.01,6.35,6.35,90100
2015-06-26,6.29,7.19,6.29,6.98,6.98,937500
2015-06-29,7.0,7.2,6.51,6.51,6.51,34900
2015-06-30,6.9,6.9,6.2,6.37,6.37,39500
2015-07-01,6.67,6.7,6.26,6.59,6.59,32200
2015-07-02,6.26,6.57,6.26,6.35,6.35,25200
2015-07-06,6.44,6.87,6.37,6.72,6.72,33400
2015-07-07,6.72,6.76,6.412000000000001,6.49,6.49,24800
2015-07-08,6.4,6.5,6.36,6.41,6.41,33200
2015-07-09,6.5,6.5,6.26,6.27,6.27,30100
2015-07-10,6.33,6.37,6.22,6.35,6.35,20500
2015-07-13,6.37,6.478,6.24,6.28,6.28,15100
2015-07-14,6.22,6.4,6.1,6.24,6.24,63900
2015-07-15,6.24,6.4,5.6,5.7,5.7,36800
2015-07-16,5.8,5.81,5.37,5.38,5.38,47300
2015-07-17,5.42,5.422999999999999,5.3,5.36,5.36,12100
2015-07-20,5.34,5.34,4.68,4.84,4.84,67700
2015-07-21,4.87,4.87,4.42,4.43,4.43,59400
2015-07-22,4.44,4.65,4.22,4.41,4.41,37300
2015-07-23,4.38,4.63,4.38,4.58,4.58,58400
2015-07-24,4.56,4.56,4.4,4.42,4.42,20600
2015-07-27,4.38,4.5,4.3,4.4,4.4,19100
2015-07-28,4.42,4.59,4.4,4.49,4.49,10300
2015-07-29,4.61,4.66,4.17,4.17,4.17,30200
2015-07-30,4.2,4.44,4.2,4.38,4.38,42000
2015-07-31,4.35,4.4,4.23,4.24,4.24,40600
2015-08-03,4.22,4.42,4.22,4.37,4.37,27300
2015-08-04,4.35,4.4,4.27,4.3,4.3,9200
2015-08-05,4.26,4.478,4.26,4.3,4.3,12800
2015-08-06,4.38,4.4,4.35,4.35,4.35,17200
2015-08-07,4.35,4.47,4.35,4.36,4.36,9800
2015-08-10,4.45,4.85,4.43,4.53,4.53,40500
2015-08-11,4.52,4.59,4.45,4.47,4.47,17100
2015-08-12,4.5,4.5,4.31,4.37,4.37,21500
2015-08-13,4.34,4.43,4.34,4.38,4.38,7900
2015-08-14,4.37,4.7,4.37,4.69,4.69,16800
2015-08-17,4.66,5.3,4.46,5.29,5.29,32200
2015-08-18,5.32,5.76,5.2,5.72,5.72,58700
2015-08-19,5.75,5.9,5.75,5.79,5.79,22400
2015-08-20,5.77,5.9,5.57,5.58,5.58,16600
2015-08-21,5.45,5.9,5.1,5.76,5.76,25100
2015-08-24,5.91,5.91,5.36,5.38,5.38,44000
2015-08-25,5.59,5.89,5.08,5.76,5.76,32400
2015-08-26,5.9,5.9,5.44,5.88,5.88,20900
2015-08-27,5.91,6.3,5.76,6.08,6.08,31700
2015-08-28,6.04,6.4,5.99,6.36,6.36,14600
2015-08-31,6.3,6.54,6.14,6.51,6.51,25800
2015-09-01,6.36,6.45,6.05,6.38,6.38,17000
2015-09-02,6.295,6.3,5.67,5.9,5.9,25900
2015-09-03,5.96,6.1,5.44,5.52,5.52,14500
2015-09-04,5.48,5.6,5.24,5.41,5.41,8900
2015-09-08,5.49,5.68,5.17,5.46,5.46,40700
2015-09-09,5.44,5.75,5.32,5.37,5.37,36800
2015-09-10,5.31,5.56,5.1,5.15,5.15,38300
2015-09-11,5.11,5.15,4.79,4.89,4.89,36400
2015-09-14,4.89,5.08,4.76,5.02,5.02,26500
2015-09-15,5.18,5.69,4.825,5.62,5.62,21900
2015-09-16,5.64,6.19,5.55,5.88,5.88,36400
2015-09-17,5.8,6.5,5.7,6.49,6.49,57300
2015-09-18,6.37,6.97,5.83,5.83,5.83,112300
2015-09-21,5.85,5.85,5.46,5.49,5.49,20300
2015-09-22,5.43,5.43,5.08,5.11,5.11,9500
2015-09-23,5.05,5.1,4.6,4.66,4.66,24000
2015-09-24,4.49,4.49,4.24,4.3,4.3,24200
2015-09-25,4.32,4.32,3.95,4.0,4.0,51500
2015-09-28,4.05,4.05,3.59,3.61,3.61,41300
2015-09-29,3.53,3.58,3.46,3.47,3.47,17800
2015-09-30,3.61,3.8,3.02,3.05,3.05,90500
2015-10-01,2.84,3.06,2.77,2.9,2.9,42100
2015-10-02,2.94,3.09,2.94,3.04,3.04,26200
2015-10-05,3.13,3.28,2.97,3.24,3.24,57400
2015-10-06,3.3,3.516,2.97,3.0,3.0,43500
2015-10-07,3.0,3.04,2.88,3.02,3.02,18900
2015-10-08,2.96,3.03,2.91,3.01,3.01,11300
2015-10-09,3.03,3.08,2.95,2.99,2.99,15200
2015-10-12,3.02,3.154,2.88,2.97,2.97,19500
2015-10-13,2.97,3.21,2.86,2.88,2.88,20100
2015-10-14,2.87,2.88,2.77,2.82,2.82,24100
2015-10-15,2.7910000000000004,3.01,2.75,3.0,3.0,12900
2015-10-16,3.02,3.06,2.88,3.01,3.01,15600
2015-10-19,3.0,3.06,2.83,2.91,2.91,11700
2015-10-20,2.9,2.95,2.9,2.91,2.91,3200
2015-10-21,2.93,2.94,2.77,2.78,2.78,13000
2015-10-22,2.81,2.9,2.7,2.79,2.79,26400
2015-10-23,2.8,2.806,2.71,2.8,2.8,11100
2015-10-26,2.78,2.87,2.7,2.87,2.87,5700
2015-10-27,3.0,3.0,2.7,2.72,2.72,43000
2015-10-28,2.74,3.24,2.74,3.23,3.23,19700
2015-10-29,3.21,3.23,2.7,2.71,2.71,30700
2015-10-30,2.73,2.8,2.718,2.8,2.8,7200
2015-11-02,2.82,3.21,2.8,3.19,3.19,17800
2015-11-03,2.83,3.227,2.83,3.12,3.12,16200
2015-11-04,3.15,3.15,2.75,2.9,2.9,30100
2015-11-05,2.91,2.93,2.77,2.86,2.86,44100
2015-11-06,2.79,2.8139999999999996,2.71,2.8,2.8,19200
2015-11-09,2.77,2.84,2.71,2.74,2.74,16400
2015-11-10,2.72,3.03,2.72,2.81,2.81,19800
2015-11-11,2.8,3.18,2.75,2.83,2.83,57000
2015-11-12,2.955,2.955,2.7,2.82,2.82,32600
2015-11-13,2.82,2.85,2.75,2.78,2.78,25800
2015-11-16,2.8,2.89,2.72,2.78,2.78,15400
2015-11-17,2.85,2.85,2.6,2.62,2.62,33100
2015-11-18,2.705,2.9,2.52,2.88,2.88,32100
2015-11-19,2.95,4.35,2.95,3.96,3.96,198700
2015-11-20,4.22,4.82,4.019,4.4,4.4,200200
2015-11-23,4.57,4.57,3.991,4.0,4.0,54100
2015-11-24,3.96,4.118,3.8,4.05,4.05,39100
2015-11-25,4.02,4.02,3.84,3.99,3.99,40500
2015-11-27,4.01,4.01,3.81,3.86,3.86,6300
2015-11-30,3.75,4.01,3.71,3.94,3.94,34700
2015-12-01,3.97,3.99,3.78,3.96,3.96,16600
2015-12-02,3.96,4.25,3.91,3.98,3.98,73800
2015-12-03,4.08,4.1,3.96,4.08,4.08,22300
2015-12-04,4.08,4.08,3.96,4.04,4.04,23100
2015-12-07,3.97,3.98,3.87,3.95,3.95,21900
2015-12-08,3.86,4.05,3.83,4.02,4.02,14500
2015-12-09,4.06,4.23,3.95,3.96,3.96,23900
2015-12-10,3.94,4.0,3.84,3.88,3.88,9600
2015-12-11,3.75,3.81,3.511,3.53,3.53,26300
2015-12-14,3.63,3.63,3.3,3.39,3.39,31200
2015-12-15,3.51,4.22,3.32,3.55,3.55,110800
2015-12-16,3.46,3.58,3.4,3.44,3.44,36000
2015-12-17,3.64,3.64,3.36,3.39,3.39,25800
2015-12-18,3.39,3.63,3.12,3.29,3.29,64900
2015-12-21,3.41,3.43,3.13,3.28,3.28,33000
2015-12-22,3.28,3.35,3.25,3.35,3.35,16500
2015-12-23,3.32,3.54,3.17,3.53,3.53,120600
2015-12-24,3.55,3.55,3.39,3.48,3.48,18500
2015-12-28,3.42,3.54,3.3,3.4,3.4,25200
2015-12-29,3.36,3.36,3.09,3.17,3.17,33000
2015-12-30,3.08,3.16,3.02,3.13,3.13,46300
2015-12-31,3.1,3.14,3.02,3.04,3.04,47000
2016-01-04,3.34,3.34,2.87,2.91,2.91,32000
2016-01-05,2.92,2.99,2.88,2.95,2.95,12600
2016-01-06,2.95,2.95,2.86,2.89,2.89,14400
2016-01-07,2.86,3.05,2.67,2.68,2.68,22600
2016-01-08,2.8,2.8,2.42,2.43,2.43,29700
2016-01-11,2.42,2.42,2.25,2.36,2.36,37600
2016-01-12,2.35,2.51,2.34,2.36,2.36,19600
2016-01-13,2.34,2.42,2.15,2.24,2.24,33200
2016-01-14,2.23,2.4,2.16,2.4,2.4,15700
2016-01-15,2.33,2.41,2.15,2.21,2.21,30300
2016-01-19,2.33,2.39,2.19,2.24,2.24,47900
2016-01-20,2.21,2.3,2.02,2.28,2.28,40000
2016-01-21,2.3,2.46,2.24,2.42,2.42,17200
2016-01-22,2.47,2.58,2.405,2.51,2.51,19600
2016-01-25,2.5,2.612,2.42,2.43,2.43,8800
