Date,Open,High,Low,Close,Adj Close,Volume
2014-02-05,30.0,30.059998999999998,27.809998999999998,28.200001,28.200001,241200
2014-02-06,27.870001000000002,28.049999,25.559998999999998,25.950001,25.950001,97700
2014-02-07,26.25,26.700001,25.35,26.700001,26.700001,17200
2014-02-10,26.85,27.0,26.1,26.73,26.73,9700
2014-02-11,26.58,26.700001,25.65,26.610001,26.610001,15100
2014-02-12,26.16,26.85,25.799999,26.07,26.07,13000
2014-02-13,27.57,27.57,23.25,26.639999,26.639999,26300
2014-02-14,26.4,27.299999,25.530001000000002,27.18,27.18,9500
2014-02-18,27.48,28.799999,27.18,28.799999,28.799999,10900
2014-02-19,29.1,29.1,27.27,28.379998999999998,28.379998999999998,7000
2014-02-20,28.799999,28.83,27.66,27.84,27.84,2800
2014-02-21,27.629998999999998,28.92,27.09,27.33,27.33,2700
2014-02-24,27.18,28.5,27.18,27.57,27.57,7600
2014-02-25,28.35,28.41,25.860001,27.18,27.18,12900
2014-02-26,27.0,28.77,27.0,28.200001,28.200001,6300
2014-02-27,28.200001,28.799999,27.6,28.5,28.5,4900
2014-02-28,29.1,29.1,27.66,28.469998999999998,28.469998999999998,4500
2014-03-03,27.75,28.620001000000002,27.0,27.450001,27.450001,7200
2014-03-04,27.809998999999998,28.35,26.58,26.790001,26.790001,7100
2014-03-05,26.940001000000002,26.940001000000002,24.84,25.08,25.08,9100
2014-03-06,24.15,25.440001000000002,24.0,24.84,24.84,3000
2014-03-07,25.08,25.08,23.639999,24.629998999999998,24.629998999999998,21300
2014-03-10,25.83,25.889999,24.360001,24.780001000000002,24.780001000000002,5300
2014-03-11,24.66,25.799999,23.16,23.4,23.4,9700
2014-03-12,23.700001,23.700001,21.75,22.200001,22.200001,8200
2014-03-13,22.440001000000002,22.469998999999998,21.0,22.02,22.02,9100
2014-03-14,21.059998999999998,21.719998999999998,19.530001000000002,21.0,21.0,45500
2014-03-17,20.82,21.66,20.25,21.030001000000002,21.030001000000002,10800
2014-03-18,21.6,23.370001000000002,20.73,23.34,23.34,12200
2014-03-19,23.040001,23.1,21.9,22.5,22.5,4600
2014-03-20,23.1,23.1,21.299999,22.290001,22.290001,5300
2014-03-21,22.200001,23.309998999999998,21.540001,23.1,23.1,15100
2014-03-24,23.07,23.07,21.93,22.5,22.5,5000
2014-03-25,22.59,23.85,22.59,23.4,23.4,3200
2014-03-26,23.76,23.76,21.870001000000002,21.9,21.9,5100
2014-03-27,21.99,22.469998999999998,21.51,21.57,21.57,3800
2014-03-28,24.870001000000002,24.870001000000002,21.389999,21.389999,21.389999,1900
2014-03-31,21.33,22.59,21.33,22.02,22.02,2000
2014-04-01,24.0,24.0,21.6,21.780001000000002,21.780001000000002,1800
2014-04-02,22.41,22.620001000000002,22.02,22.02,22.02,100
2014-04-03,22.35,22.530001000000002,21.299999,21.48,21.48,2700
2014-04-04,21.719998999999998,22.379998999999998,21.6,21.629998999999998,21.629998999999998,1900
2014-04-07,21.870001000000002,22.469998999999998,21.09,21.09,21.09,5600
2014-04-08,21.57,21.780001000000002,21.299999,21.780001000000002,21.780001000000002,1300
2014-04-09,23.370001000000002,23.370001000000002,21.15,21.209999,21.209999,6700
2014-04-10,21.120001000000002,21.389999,16.35,19.17,19.17,8000
2014-04-11,18.75,21.209999,16.5,18.0,18.0,9100
2014-04-14,18.450001,18.450001,15.0,16.98,16.98,7500
2014-04-15,17.67,17.67,15.06,15.69,15.69,2400
2014-04-16,16.200001,16.35,15.15,15.63,15.63,4300
2014-04-17,15.6,15.6,14.1,14.85,14.85,4100
2014-04-21,14.01,15.9,12.48,14.94,14.94,7200
2014-04-22,15.03,15.54,14.7,15.09,15.09,3600
2014-04-23,15.0,15.03,14.7,14.97,14.97,1600
2014-04-24,15.0,15.21,14.67,15.0,15.0,5600
2014-04-25,15.0,15.63,13.65,14.16,14.16,7500
2014-04-28,14.61,14.61,13.05,13.38,13.38,3000
2014-04-29,13.35,14.16,13.11,14.16,14.16,3600
2014-04-30,14.1,14.58,13.2,14.22,14.22,3800
2014-05-01,14.76,17.16,14.67,16.200001,16.200001,40100
2014-05-02,17.1,17.309998999999998,15.0,15.15,15.15,23900
2014-05-05,14.73,15.42,14.73,14.88,14.88,4100
2014-05-06,15.0,15.3,13.53,14.1,14.1,8800
2014-05-07,13.8,14.64,13.8,13.92,13.92,5400
2014-05-08,14.61,14.61,13.8,13.86,13.86,2100
2014-05-09,13.5,13.95,13.5,13.53,13.53,11000
2014-05-12,13.83,14.25,13.8,13.89,13.89,1900
2014-05-13,13.89,13.89,13.5,13.62,13.62,2300
2014-05-14,13.53,13.83,13.53,13.83,13.83,100
2014-05-15,13.8,13.86,12.9,13.14,13.14,6500
2014-05-16,13.11,13.86,13.05,13.23,13.23,500
2014-05-19,13.5,13.53,13.5,13.53,13.53,0
2014-05-20,12.93,14.31,12.93,13.98,13.98,2300
2014-05-21,14.28,14.28,12.9,13.32,13.32,6000
2014-05-22,13.71,13.92,13.2,13.26,13.26,1200
2014-05-23,13.2,13.83,13.05,13.32,13.32,5200
2014-05-27,13.5,14.01,13.2,13.32,13.32,3800
2014-05-28,13.29,13.35,13.2,13.29,13.29,500
2014-05-29,13.29,13.29,13.29,13.29,13.29,0
2014-05-30,13.71,13.71,13.2,13.29,13.29,100
2014-06-02,13.35,14.64,13.2,14.13,14.13,6800
2014-06-03,16.5,20.280001000000002,15.57,16.68,16.68,80000
